vtkCompositeIndexArray,vtkOriginalIndices,x,y,z,u1,u2,u3,__vtkIsSelected__,p
2,124,0.095,0.025,0,-0.0048417,-0.0173441,0,0,0.0516259
2,125,0.1,0.025,0,0,0,0,0,0.0432166
2,126,0,0.03,0,0,0,0,0,0.0231367
2,127,0.005,0.03,0,-0.00599684,0.0261359,0,0,0.0132911
2,128,0.01,0.03,0,-0.0183251,0.0477595,0,0,-0.00246051
2,129,0.015,0.03,0,-0.0365863,0.0628303,0,0,-0.0111239
2,130,0.02,0.03,0,-0.0576073,0.07063,0,0,-0.0145751
2,131,0.025,0.03,0,-0.0790764,0.071336,0,0,-0.0141119
2,132,0.03,0.03,0,-0.0992104,0.0656532,0,0,-0.0101451
2,133,0.035,0.03,0,-0.116548,0.0545918,0,0,-0.00313921
2,134,0.04,0.03,0,-0.129959,0.0393205,0,0,0.00635554
2,135,0.045,0.03,0,-0.138627,0.0210868,0,0,0.0177419
2,136,0.05,0.03,0,-0.142022,0.00119355,0,0,0.0303467
2,137,0.055,0.03,0,-0.139887,-0.0189924,0,0,0.0433948
2,138,0.06,0.03,0,-0.132249,-0.0380232,0,0,0.056004
2,139,0.065,0.03,0,-0.119453,-0.0543712,0,0,0.0672041
2,140,0.07,0.03,0,-0.102216,-0.0664731,0,0,0.0759782
2,141,0.075,0.03,0,-0.081686,-0.0728372,0,0,0.0813378
2,142,0.08,0.03,0,-0.0594666,-0.0722307,0,0,0.0824887
2,143,0.085,0.03,0,-0.0375876,-0.0639327,0,0,0.0789124
2,144,0.09,0.03,0,-0.0186404,-0.0480303,0,0,0.0694877
2,145,0.095,0.03,0,-0.00599402,-0.0257947,0,0,0.0527833
2,146,0.1,0.03,0,0,0,0,0,0.042484
2,147,0,0.035,0,0,0,0,0,0.0161195
2,148,0.005,0.035,0,-0.00709666,0.0361123,0,0,0.00459044
2,149,0.01,0.035,0,-0.0215121,0.0647188,0,0,-0.0136707
2,150,0.015,0.035,0,-0.0426156,0.0839141,0,0,-0.0233412
2,151,0.02,0.035,0,-0.0665804,0.0932928,0,0,-0.026797
2,152,0.025,0.035,0,-0.0907301,0.0934377,0,0,-0.0257239
2,153,0.03,0.035,0,-0.11312,0.0854769,0,0,-0.0206983
2,154,0.035,0.035,0,-0.132243,0.0708168,0,0,-0.0122966
2,155,0.04,0.035,0,-0.146988,0.0509752,0,0,-0.00113998
2,156,0.045,0.035,0,-0.156578,0.0275021,0,0,0.0121413
2,157,0.05,0.035,0,-0.160507,0.00197097,0,0,0.0268579
2,158,0.055,0.035,0,-0.158501,-0.0239869,0,0,0.0422124
2,159,0.06,0.035,0,-0.150525,-0.0486357,0,0,0.0572706
2,160,0.065,0.035,0,-0.136827,-0.0701069,0,0,0.0709599
2,161,0.07,0.035,0,-0.118018,-0.0864228,0,0,0.0820916
2,162,0.075,0.035,0,-0.0951888,-0.0956025,0,0,0.0894328
2,163,0.08,0.035,0,-0.0699975,-0.0958771,0,0,0.0919
2,164,0.085,0.035,0,-0.0447013,-0.0860089,0,0,0.0886711
2,165,0.09,0.035,0,-0.0223908,-0.0656869,0,0,0.0781527
2,166,0.095,0.035,0,-0.00727401,-0.0360299,0,0,0.0584292
2,167,0.1,0.035,0,0,0,0,0,0.0460973
2,168,0,0.04,0,0,0,0,0,0.00258955
2,169,0.005,0.04,0,-0.0082862,0.0477251,0,0,-0.0106754
2,170,0.01,0.04,0,-0.0248747,0.0842447,0,0,-0.0314053
2,171,0.015,0.04,0,-0.0488235,0.107867,0,0,-0.0417847
2,172,0.02,0.04,0,-0.0755825,0.118683,0,0,-0.0447717
2,173,0.025,0.04,0,-0.102114,0.11788,0,0,-0.0425139
2,174,0.03,0.04,0,-0.126366,0.107171,0,0,-0.035792
2,175,0.035,0.04,0,-0.146865,0.08846,0,0,-0.0253136
2,176,0.04,0.04,0,-0.162601,0.0636581,0,0,-0.011775
2,177,0.045,0.04,0,-0.172907,0.0346114,0,0,0.00416641
2,178,0.05,0.04,0,-0.177349,0.0031245,0,0,0.0218179
2,179,0.055,0.04,0,-0.175654,-0.0289649,0,0,0.0403728
2,180,0.06,0.04,0,-0.167705,-0.0596899,0,0,0.0588546
2,181,0.065,0.04,0,-0.153594,-0.0868767,0,0,0.0760838
2,182,0.07,0.04,0,-0.133741,-0.108123,0,0,0.0906756
2,183,0.075,0.04,0,-0.109069,-0.12088,0,0,0.101097
2,184,0.08,0.04,0,-0.0811806,-0.122681,0,0,0.105891
2,185,0.085,0.04,0,-0.0524939,-0.111538,0,0,0.103815
2,186,0.09,0.04,0,-0.0266223,-0.0864739,0,0,0.0926425
2,187,0.095,0.04,0,-0.00876373,-0.0482532,0,0,0.0698176
2,188,0.1,0.04,0,0,0,0,0,0.0552671
2,189,0,0.045,0,0,0,0,0,-0.0189099
2,190,0.005,0.045,0,-0.00962335,0.0610882,0,0,-0.0339894
2,191,0.01,0.045,0,-0.0285074,0.106398,0,0,-0.0571049
2,192,0.015,0.045,0,-0.0552651,0.134585,0,0,-0.0677081
2,193,0.02,0.045,0,-0.0845228,0.146504,0,0,-0.0695138
2,194,0.025,0.045,0,-0.112904,0.144216,0,0,-0.0652729
2,195,0.03,0.045,0,-0.13835,0.130222,0,0,-0.0560389
2,196,0.035,0.045,0,-0.15954,0.107041,0,0,-0.0426781
2,197,0.04,0.045,0,-0.175686,0.0770117,0,0,-0.0259616
2,198,0.045,0.045,0,-0.186332,0.0422503,0,0,-0.00655256
2,199,0.05,0.045,0,-0.191179,0.00472218,0,0,0.0148863
2,200,0.055,0.045,0,-0.189987,-0.0336226,0,0,0.0375783
2,201,0.06,0.045,0,-0.182545,-0.0706846,0,0,0.0605398
2,202,0.065,0.045,0,-0.168731,-0.104062,0,0,0.0825078
2,203,0.07,0.045,0,-0.148658,-0.130955,0,0,0.101895
2,204,0.075,0.045,0,-0.122928,-0.148183,0,0,0.11682
2,205,0.08,0.045,0,-0.0929148,-0.152404,0,0,0.125344
2,206,0.085,0.045,0,-0.0610595,-0.140571,0,0,0.12564
2,207,0.09,0.045,0,-0.0314799,-0.110662,0,0,0.114574
2,208,0.095,0.045,0,-0.0105512,-0.0627481,0,0,0.0886581
2,209,0.1,0.045,0,0,0,0,0,0.0716757
2,210,0,0.05,0,0,0,0,0,-0.0502594
2,211,0.005,0.05,0,-0.0111909,0.0763676,0,0,-0.067248
2,212,0.01,0.05,0,-0.0325249,0.131231,0,0,-0.0925572
2,213,0.015,0.05,0,-0.0619575,0.163838,0,0,-0.102587
2,214,0.02,0.05,0,-0.0931639,0.176217,0,0,-0.10213
2,215,0.025,0.05,0,-0.122498,0.171687,0,0,-0.0947819
2,216,0.03,0.05,0,-0.148056,0.153785,0,0,-0.0819727
2,217,0.035,0.05,0,-0.168858,0.125771,0,0,-0.064762
2,218,0.04,0.05,0,-0.1845,0.0904314,0,0,-0.0439843
2,219,0.045,0.05,0,-0.194861,0.0500941,0,0,-0.0202669
2,220,0.05,0.05,0,-0.199868,0.00677805,0,0,0.00581806
2,221,0.055,0.05,0,-0.199359,-0.0375919,0,0,0.0335947
2,222,0.06,0.05,0,-0.193031,-0.0809323,0,0,0.0621447
2,223,0.065,0.05,0,-0.180488,-0.120748,0,0,0.0901825
2,224,0.07,0.05,0,-0.161416,-0.153925,0,0,0.11595
2,225,0.075,0.05,0,-0.135889,-0.176636,0,0,0.137186
2,226,0.08,0.05,0,-0.104802,-0.184482,0,0,0.151359
2,227,0.085,0.05,0,-0.0703647,-0.172981,0,0,0.155831
2,228,0.09,0.05,0,-0.0370944,-0.138508,0,0,0.146142
2,229,0.095,0.05,0,-0.0127444,-0.0798711,0,0,0.117369
2,230,0.1,0.05,0,0,0,0,0,0.0977554
2,231,0,0.055,0,0,0,0,0,-0.0940311
2,232,0.005,0.055,0,-0.0131275,0.0938024,0,0,-0.113004
2,233,0.01,0.055,0,-0.0370926,0.158754,0,0,-0.140051
2,234,0.015,0.055,0,-0.068873,0.195166,0,0,-0.148148
2,235,0.02,0.055,0,-0.101059,0.206901,0,0,-0.143749
2,236,0.025,0.055,0,-0.129899,0.199063,0,0,-0.131676
2,237,0.03,0.055,0,-0.153919,0.176539,0,0,-0.113879
2,238,0.035,0.055,0,-0.172733,0.143439,0,0,-0.0916412
2,239,0.04,0.055,0,-0.186527,0.102977,0,0,-0.0658256
2,240,0.045,0.055,0,-0.195663,0.0575939,0,0,-0.0369507
2,241,0.05,0.055,0,-0.200396,0.00921038,0,0,-0.00540246
2,242,0.055,0.055,0,-0.200701,-0.0404557,0,0,0.028355
2,243,0.06,0.055,0,-0.196203,-0.0895378,0,0,0.063588
2,244,0.065,0.055,0,-0.1862,-0.135652,0,0,0.0991055
2,245,0.07,0.055,0,-0.169825,-0.175538,0,0,0.133068
2,246,0.075,0.055,0,-0.146404,-0.204792,0,0,0.162861
2,247,0.08,0.055,0,-0.115997,-0.217829,0,0,0.18527
2,248,0.085,0.055,0,-0.0801767,-0.208287,0,0,0.196565
2,249,0.09,0.055,0,-0.043581,-0.17016,0,0,0.190359
2,250,0.095,0.055,0,-0.0154938,-0.100049,0,0,0.159446
2,251,0.1,0.055,0,0,0,0,0,0.137104
2,252,0,0.06,0,0,0,0,0,-0.154011
2,253,0.005,0.06,0,-0.0156744,0.113745,0,0,-0.174903
2,254,0.01,0.06,0,-0.042453,0.188876,0,0,-0.202609
2,255,0.015,0.06,0,-0.0758813,0.227716,0,0,-0.206386
2,256,0.02,0.06,0,-0.107403,0.23704,0,0,-0.195383
2,257,0.025,0.06,0,-0.133513,0.224459,0,0,-0.176228
2,258,0.03,0.06,0,-0.153594,0.19654,0,0,-0.15155
2,259,0.035,0.06,0,-0.168195,0.158305,0,0,-0.122849
2,260,0.04,0.06,0,-0.178315,0.113303,0,0,-0.0909344
2,261,0.045,0.06,0,-0.184941,0.0639236,0,0,-0.0560948
2,262,0.05,0.06,0,-0.188743,0.0117967,0,0,-0.0183863
2,263,0.055,0.06,0,-0.189897,-0.0417832,0,0,0.0220967
2,264,0.06,0.06,0,-0.188004,-0.0954103,0,0,0.0649813
2,265,0.065,0.06,0,-0.182065,-0.147084,0,0,0.109361
2,266,0.07,0.06,0,-0.170596,-0.19368,0,0,0.153501
2,267,0.075,0.06,0,-0.151956,-0.230428,0,0,0.194561
2,268,0.08,0.06,0,-0.124954,-0.250551,0,0,0.228633
2,269,0.085,0.06,0,-0.0899151,-0.245386,0,0,0.250624
2,270,0.09,0.06,0,-0.0510151,-0.205512,0,0,0.251386
2,271,0.095,0.06,0,-0.0190256,-0.123778,0,0,0.220053
2,272,0.1,0.06,0,0,0,0,0,0.195206
2,273,0,0.065,0,0,0,0,0,-0.236297
2,274,0.005,0.065,0,-0.019238,0.136714,0,0,-0.258533
2,275,0.01,0.065,0,-0.0489074,0.221259,0,0,-0.284325
2,276,0.015,0.065,0,-0.0825502,0.259951,0,0,-0.279496
2,277,0.02,0.065,0,-0.110678,0.264223,0,0,-0.257654
2,278,0.025,0.065,0,-0.130734,0.245102,0,0,-0.227996
2,279,0.03,0.065,0,-0.143584,0.211094,0,0,-0.193929
2,280,0.035,0.065,0,-0.1511,0.168051,0,0,-0.157058
2,281,0.04,0.065,0,-0.155284,0.119643,0,0,-0.117958
2,282,0.045,0.065,0,-0.15782,0.0679692,0,0,-0.0764846
2,283,0.05,0.065,0,-0.159827,0.0141419,0,0,-0.0321631
2,284,0.055,0.065,0,-0.161729,-0.0411898,0,0,0.0154918
2,285,0.06,0.065,0,-0.163171,-0.097333,0,0,0.0667038
2,286,0.065,0.065,0,-0.162951,-0.152988,0,0,0.12113
2,287,0.07,0.065,0,-0.159014,-0.205562,0,0,0.177454
2,288,0.075,0.065,0,-0.148643,-0.250333,0,0,0.232921
2,289,0.08,0.065,0,-0.128998,-0.279597,0,0,0.283116
2,290,0.085,0.065,0,-0.0983405,-0.282144,0,0,0.321431
2,291,0.09,0.065,0,-0.0593315,-0.243923,0,0,0.334977
2,292,0.095,0.065,0,-0.0236748,-0.151602,0,0,0.307069
2,293,0.1,0.065,0,0,0,0,0,0.280807
2,294,0,0.07,0,0,0,0,0,-0.351641
2,295,0.005,0.07,0,-0.0244255,0.163416,0,0,-0.373062
2,296,0.01,0.07,0,-0.0566129,0.254975,0,0,-0.390785
2,297,0.015,0.07,0,-0.0875901,0.289154,0,0,-0.369559
2,298,0.02,0.07,0,-0.107894,0.284742,0,0,-0.330224
2,299,0.025,0.07,0,-0.117191,0.257123,0,0,-0.28525
2,300,0.03,0.07,0,-0.118632,0.216727,0,0,-0.238636
2,301,0.035,0.07,0,-0.11573,0.169867,0,0,-0.191726
2,302,0.04,0.07,0,-0.111524,0.119932,0,0,-0.144493
2,303,0.045,0.07,0,-0.108311,0.0684149,0,0,-0.0960404
2,304,0.05,0.07,0,-0.107572,0.0156882,0,0,-0.0450907
2,305,0.055,0.07,0,-0.109964,-0.0384199,0,0,0.00967642
2,306,0.06,0.07,0,-0.115269,-0.0941255,0,0,0.0693661
2,307,0.065,0.07,0,-0.122272,-0.151128,0,0,0.13456
2,308,0.07,0.07,0,-0.12859,-0.207834,0,0,0.204841
2,309,0.075,0.07,0,-0.130588,-0.260234,0,0,0.278127
2,310,0.08,0.07,0,-0.123576,-0.300387,0,0,0.350072
2,311,0.085,0.07,0,-0.10289,-0.314793,0,0,0.412825
2,312,0.09,0.07,0,-0.0679896,-0.283683,0,0,0.448969
2,313,0.095,0.07,0,-0.0298506,-0.183991,0,0,0.432956
2,314,0.1,0.07,0,0,0,0,0,0.408615
2,315,0,0.075,0,0,0,0,0,-0.51992
2,316,0.005,0.075,0,-0.0318353,0.1946,0,0,-0.534061
2,317,0.01,0.075,0,-0.0647768,0.287715,0,0,-0.529356
